region,year,month,dengue_cases,dengue_deaths
NCR,2016,1,,
NCR,2016,2,,
NCR,2016,3,,
NCR,2016,4,,
NCR,2016,5,,
NCR,2016,6,,
NCR,2016,7,,
NCR,2016,8,,
NCR,2016,9,,
NCR,2016,10,,
NCR,2016,11,,
NCR,2016,12,,
NCR,2017,1,,
NCR,2017,2,,
NCR,2017,3,,
NCR,2017,4,,
NCR,2017,5,,
NCR,2017,6,,
NCR,2017,7,,
NCR,2017,8,,
NCR,2017,9,,
NCR,2017,10,,
NCR,2017,11,,
NCR,2017,12,,
NCR,2018,1,,
NCR,2018,2,,
NCR,2018,3,,
NCR,2018,4,,
NCR,2018,5,,
NCR,2018,6,,
NCR,2018,7,,
NCR,2018,8,,
NCR,2018,9,,
NCR,2018,10,,
NCR,2018,11,,
NCR,2018,12,,
NCR,2019,1,,
NCR,2019,2,,
NCR,2019,3,,
NCR,2019,4,,
NCR,2019,5,,
NCR,2019,6,,
NCR,2019,7,,
NCR,2019,8,,
NCR,2019,9,,
NCR,2019,10,,
NCR,2019,11,,
NCR,2019,12,,
NCR,2020,1,,
NCR,2020,2,,
NCR,2020,3,,
NCR,2020,4,,
NCR,2020,5,,
NCR,2020,6,,
NCR,2020,7,,
NCR,2020,8,,
NCR,2020,9,,
NCR,2020,10,,
NCR,2020,11,,
NCR,2020,12,,
NCR,2021,1,,
NCR,2021,2,,
NCR,2021,3,,
NCR,2021,4,,
NCR,2021,5,,
NCR,2021,6,,
NCR,2021,7,,
NCR,2021,8,,
NCR,2021,9,,
NCR,2021,10,,
NCR,2021,11,,
NCR,2021,12,,
NCR,2022,1,,
NCR,2022,2,,
NCR,2022,3,,
NCR,2022,4,,
NCR,2022,5,,
NCR,2022,6,,
NCR,2022,7,,
NCR,2022,8,,
NCR,2022,9,,
NCR,2022,10,,
NCR,2022,11,,
NCR,2022,12,,
NCR,2023,1,,
NCR,2023,2,,
NCR,2023,3,,
NCR,2023,4,,
NCR,2023,5,,
NCR,2023,6,,
NCR,2023,7,,
NCR,2023,8,,
NCR,2023,9,,
NCR,2023,10,,
NCR,2023,11,,
NCR,2023,12,,
NCR,2024,1,,
NCR,2024,2,,
NCR,2024,3,,
NCR,2024,4,,
NCR,2024,5,,
NCR,2024,6,,
NCR,2024,7,,
NCR,2024,8,,
NCR,2024,9,,
NCR,2024,10,,
NCR,2024,11,,
NCR,2024,12,,
CAR,2016,1,,
CAR,2016,2,,
CAR,2016,3,,
CAR,2016,4,,
CAR,2016,5,,
CAR,2016,6,,
